"","hgnc_symbol","logFC","PValue","FDR"
"ENSG00000175868","Calcb",-1.18121821436702,1.65055746681545e-05,0.654710124787016
"unknown.6991","2610001J05Rik",-0.918966408544203,0.00311279516183488,1
"unknown.1752","Defa15",-0.885132623454467,0.0105823437135153,1
"ENSG00000108010.2","Glrx3",-0.850720814824995,0.00803690984074708,1
"ENSG00000005194.2","Ciapin1",-0.848205249059937,0.00610570137641807,1
"ENSG00000067141.4","Neo1",-0.770107399815672,0.013750709824653,1
"ENSG00000184381.1","Pla2g6",-0.732065762223536,0.0256548248447042,1
"ENSG00000158710","Tagln2",-0.728192354157931,0.0307870052663785,1
"ENSG00000155926.3","Sla",-0.711548600604675,0.0220190703503997,1
"unknown.1473","Smr2",-0.661425270367386,0.0722387085579102,1
"ENSG00000171401.2","Krt13",-0.645024057190819,0.0566652007462527,1
"ENSG00000186007","Lemd1",-0.626731240755807,0.0535451214780875,1
"ENSG00000132031.1","Matn3",-0.623230631192756,0.0566652007462527,1
"ENSG00000170961","Has2",-0.605959444924713,0.0470123553571748,1
"ENSG00000125741.4","Opa3",-0.562001018331121,0.114255272573041,1
"ENSG00000135929.1","Cyp27a1",-0.550892247490203,0.114661479764852,1
"ENSG00000166411.3","Idh3a",-0.54758065536543,0.0970319857390508,1
"ENSG00000143476.2","Dtl",-0.545901186775042,0.124919266182925,1
"ENSG00000128322.1","Igll1",-0.545178722901915,0.114661479764852,1
"ENSG00000134779.1","Tpgs2",-0.540122805414853,0.0789766518844467,1
"unknown.7534","H2-D1",-0.538236483037861,0.110016673023745,1
"unknown.1297","C130026I21Rik",-0.522979471557139,0.148033279070035,1
"ENSG00000111846.3","Gcnt2",-0.522846991836005,0.161882427328599,1
"ENSG00000127129","Edn2",-0.521647942054983,0.0594318540315973,1
"ENSG00000187581","Cox8c",-0.520647533151663,0.17528691362878,1
"ENSG00000157557.1","Ets2",-0.491380961980255,0.117371482473829,1
"unknown.5648","2010109A12Rik",-0.49024060524267,0.200032447248527,1
"unknown.4491","BB144871",-0.481380790022353,0.18181122189293,1
"ENSG00000134779.3","Tpgs2",-0.47841051376456,0.165429187654372,1
"ENSG00000125821","Dtd1",-0.477655883623788,0.165429187654372,1
"ENSG00000153904.2","Ddah1",-0.465856839404017,0.176611896042648,1
"ENSG00000170027.3","Ywhag",-0.455803512253436,0.160579832138936,1
"unknown.207","Cyp2c29",-0.440607912543715,0.274991680630027,1
"unknown.5110","LOC102636289",-0.438904445788863,0.274991680630027,1
"ENSG00000134287.4","Arf3",-0.437265819698053,0.260436677013908,1
"ENSG00000170961.1","Has2",-0.43716805340318,0.131926005019665,1
"ENSG00000076003.2","Mcm6",-0.434390192375081,0.182078138009479,1
"ENSG00000163661","Ptx3",-0.43238533334192,0.0978139521862277,1
"ENSG00000110680","Calca",-0.431079131876909,0.235098869622531,1
"ENSG00000124766.7","Sox4",-0.429392392048724,0.340891968669457,1
"unknown.9209","C130033p17rik",-0.426361598967932,0.235098869622531,1
"ENSG00000182636.7","Ndn",-0.41785908219051,0.340891968669457,1
"ENSG00000092094.2","Osgep",-0.414253378413901,0.260427007126268,1
"unknown.4635","Igh-VJ558",-0.414048729054522,0.274991680630027,1
"ENSG00000124882","Ereg",-0.413621694084532,0.192761921649968,1
"ENSG00000172500.2","Fibp",-0.412922813608771,0.274991680630027,1
"ENSG00000143751.2","Sde2",-0.410765453170426,0.30567858157732,1
"ENSG00000124766.4","Sox4",-0.407746150743749,0.349683016335599,1
"ENSG00000111859.2","Nedd9",-0.400602142463175,0.266413833221733,1
"ENSG00000167513.2","Cdt1",-0.400259490695125,0.248047137073698,1
