"","hgnc_symbol","logFC","PValue","FDR"
"unknown.1752","Defa15",-0.742286815198793,0.0307870052663785,1
"unknown.402","Ccl12",-0.717248483612482,0.021383616059449,1
"ENSG00000155926.3","Sla",-0.681468143452235,0.0421660794601167,1
"ENSG00000148346","Lcn2",-0.679565262193465,0.0112762038394134,1
"unknown.6991","2610001J05Rik",-0.674699440864046,0.0280174659133554,1
"ENSG00000127954.1","Steap4",-0.671981418981276,0.0334173363419844,1
"ENSG00000108010.2","Glrx3",-0.669324977641684,0.0566652007462527,1
"ENSG00000005194.2","Ciapin1",-0.642872047332121,0.0445982754881948,1
"ENSG00000158710","Tagln2",-0.575098045692567,0.0959245560273669,1
"unknown.1473","Smr2",-0.539767234817579,0.153913917125421,1
"ENSG00000143751.2","Sde2",-0.532120677389874,0.142072428175412,1
"ENSG00000111846.3","Gcnt2",-0.518108572037653,0.192527489339944,1
"ENSG00000166411.3","Idh3a",-0.509830589691394,0.105226525139329,1
"ENSG00000067141.4","Neo1",-0.508456639016506,0.100174595873008,1
"ENSG00000101266.1","Csnk2a1",-0.507861341476537,0.0756202884824621,1
"unknown.9095","Ifi202b",-0.506689459514829,0.20736902526898,1
"ENSG00000162601.2","Mysm1",-0.506642802892288,0.159712880108057,1
"ENSG00000184381.1","Pla2g6",-0.504539567990626,0.12385428348159,1
"ENSG00000111859.2","Nedd9",-0.484505088404825,0.221549946942674,1
"ENSG00000124784.2","Riok1",-0.482773042989286,0.13736934504482,1
"unknown.4590","Lyz1",-0.481814877471557,0.101434182874549,1
"unknown.1297","C130026I21Rik",-0.47976921532949,0.214540365607523,1
"ENSG00000276231.1","Pik3r6",-0.47381715554178,0.165429187654372,1
"ENSG00000118194","Tnnt2",-0.471627052438331,0.18181122189293,1
"unknown.4635","Igh-VJ558",-0.459962900172964,0.20736902526898,1
"ENSG00000187581","Cox8c",-0.454761952913375,0.221549946942674,1
"ENSG00000244731","C4a",-0.451068871065272,0.0926916698136,1
"ENSG00000125741.4","Opa3",-0.450775646776302,0.235098869622531,1
"ENSG00000186007","Lemd1",-0.446939833796341,0.182078138009479,1
"ENSG00000127129","Edn2",-0.444237142341127,0.110940909054291,1
"unknown.4783","Cyr61",-0.441977868147086,0.170243905586418,1
"ENSG00000099991.2","Cabin1",-0.441646737986645,0.192761921649968,1
"unknown.5035","Lyz1",-0.437515192185192,0.184287527909716,1
"ENSG00000124766.4","Sox4",-0.431871387775715,0.280610759352841,1
"unknown.7534","H2-D1",-0.430515905487469,0.248047137073698,1
"ENSG00000125730","C3",-0.430164727945901,0.135352173814725,1
"unknown.341","Akr1c14",-0.428072052730981,0.170243905586418,1
"ENSG00000166579.1","Ndel1",-0.427108954755865,0.123428883750614,1
"unknown.8059","5330434G04Rik",-0.426421382153462,0.203118398993784,1
"ENSG00000134779.3","Tpgs2",-0.425827464585532,0.218519487791097,1
"ENSG00000135929.1","Cyp27a1",-0.424490675615197,0.288785646664216,1
"unknown.8857","Tmem56",-0.422776678519035,0.159071272696388,1
"ENSG00000096696.2","Dsp",-0.420217714723112,0.26781290757778,1
"ENSG00000124766.7","Sox4",-0.418808075648767,0.340891968669457,1
"ENSG00000004478.2","Fkbp4",-0.417955099051991,0.30567858157732,1
"ENSG00000101266","Csnk2a1",-0.415886698517079,0.135352173814725,1
"ENSG00000157557.1","Ets2",-0.410562713467135,0.19798067411934,1
"ENSG00000105954","Npvf",-0.408032764847621,0.167446052907491,1
"ENSG00000128322.1","Igll1",-0.4061250919699,0.295414686995778,1
"ENSG00000132031.1","Matn3",-0.401994408102461,0.246108121141356,1
